_id,coll_name,coll_place,description,lat,long,object_name,object_number,os_gridref,priref,repro_ref,strat_type,strat_unit,taxonomy,url
7128,"Baker, Harry",Dow End,"Part of a Silurian fossil brachiopod, Atrypa reticularis found at Dow, End Walsall",52.59780043,-1.95713694,Brachiopod,G.04947.004,SK0300,650410,G.04947.004.jpg,"Chronostratigraphy, Lithostratigraphy",Silurian Period; Wenlock Series; Much Wenlock Limestone Formation,Atrypa reticularis,https://data.nhm.ac.uk/media/ludlow:G.04947.004.jpg
9235,"Cobbold, Edgar Stirling (DSc, AMICE, FGS)",Harnage Grange Quarry,Single complete valve of the Ordovician brachiopod Heterorthis patera. Found at Harnage Grange.,,,Brachiopod,SHYMS: G/1994/0306,unknown,657390,shyms_g_1994_0306.jpg,Chronostratigraphy,Ordovician Period; Caradoc Series; Costonian Substage,Heterorthis patera,https://data.nhm.ac.uk/media/ludlow:shyms_g_1994_0306.jpg
9106,unknown,Unknown,"Large cut slab showing concentric layers of translucent, purplish fluorite and barite.",,,Fluorite,M.00703,unknown,50340,M.00703a.jpg; M.00703b.jpg,,,Fluorite; Calcium Fluoride; FLUORIDE,https://data.nhm.ac.uk/media/ludlow:M.00703a.jpg; https://data.nhm.ac.uk/media/ludlow:M.00703b.jpg
9254,unknown,Vicarage Lane,Brown micaceous sandstone containing the fragmentary remains of a number of graptolites.,,,Graptolite,SHYMS: G/2019/0018,unknown,662531,shyms_g_2019_0018a.jpg; shyms_g_2019_0018b.jpg,Chronostratigraphy,Silurian Period,Rastrites spinosus,https://data.nhm.ac.uk/media/ludlow:shyms_g_2019_0018a.jpg; https://data.nhm.ac.uk/media/ludlow:shyms_g_2019_0018b.jpg
8779,"Ashford, Charles",Unknown,Fossilised shell of a gastropod. From the Charles Ashford Collection.,,,Gastropod,G.20316.003,unknown,660532,G.20316.003.jpg,,,GASTROPODA,https://data.nhm.ac.uk/media/ludlow:G.20316.003.jpg
7147,"Wood, B.",River Onny Valley,Fossilised fragment of phragmocone of the Silurian cephalopod Orthoceras sp. found in the Onny Valley.,52.41470474,-2.88357396,Cephalopod,G.05229,SO48,49110,G.05229.jpg,Chronostratigraphy,Ordovician Period; Caradoc Series,Orthoceras sp.,https://data.nhm.ac.uk/media/ludlow:G.05229.jpg
9027,"Toghill, Peter",Middle Criggion,"Microscope thin section of Criggion Dolerite, made from a hand specimen collected at Criggion.",52.72797686,-3.05278336,Igneous Rock,G.20571.004,SJ2915,657187,G.20571.004a.jpg; G.20571.004b.jpg; G.20571.004c.jpg; G.20571.004d.jpg; G.20571.004e.jpg,Chronostratigraphy,Ordovician Period,Dolerite,https://data.nhm.ac.uk/media/ludlow:G.20571.004a.jpg; https://data.nhm.ac.uk/media/ludlow:G.20571.004b.jpg; https://data.nhm.ac.uk/media/ludlow:G.20571.004c.jpg; https://data.nhm.ac.uk/media/ludlow:G.20571.004d.jpg; https://data.nhm.ac.uk/media/ludlow:G.20571.004e.jpg
8096,"Wood, B.J.",Chatwall; Shropshire,"Fossilised reains of the Ordovician brachiopod Dalmanella sp. and trilobites Tentaculites angelicus and Brongniartella sp. found at Chatwall, Shropshire.",52.56862051,-2.72437104,Brachiopod; Trilobite,G.13675,SO5197,54607,G.13675.jpg,Chronostratigraphy,Ordovician Period; Caradoc Series,Dalmanella sp.; Brongniartella sp.; Tentaculites anglicus,https://data.nhm.ac.uk/media/ludlow:G.13675.jpg
9257,"Wyley, Canon William Kiteley",Marshbrook,Assemblage of Ordovician fossils including two complete but separate valves of the brachiopod Strophomena grandis as well as other brachiopods and tentaculids.,,,Brachiopod,SHYMS: G/2019/0022,unknown,662590,shyms_g_2019_0022.jpg,"Chronostratigraphy, Lithostratigraphy",Ordovician Period; Cheney Longville Flag Formation,,https://data.nhm.ac.uk/media/ludlow:shyms_g_2019_0022.jpg
9151,unknown,"Onny River section, Shropshire.","Fossilised remains pygidium of the Ordocivian trilobite, Calymene sp. found in the Onny River, Shropshire.",52.41470474,-2.88357396,Trilobite,SHYMS: G/1977/0375.003,SO48,661358,shyms_g_1977_0375.003.jpg,Chronostratigraphy,Ordovician Period,Calymene sp.,https://data.nhm.ac.uk/media/ludlow:shyms_g_1977_0375.003.jpg
7165,"Wood, Brian",Knighton,Fragment of phragmocone of a Cyrtoceras sp. cephalopod fossil.,52.34147511,-3.04357765,Cephalopod,G.05428,SO2972,49030,G.05428.jpg,"Chronostratigraphy, Lithostratigraphy",Silurian Period; Ludlow Series,Cyrtoceras sp.,https://data.nhm.ac.uk/media/ludlow:G.05428.jpg
8708,unknown,Unknown,Fossilised remains of the horn shaped corallite of the Cretaceous solitary coral Trochocyathus conulus showing the septal furrows and growth lines. From the Upper Greensand formation.,,,CORAL,G.20249.001,Unknown,659865,G.20249.001.jpg,"Chronostratigraphy, Lithostratigraphy",Cretaceous Period; Upper Greensand Formation,Trochocyathus conulus,https://data.nhm.ac.uk/media/ludlow:G.20249.001.jpg
8882,"Norton, W.J.",Shelsley Quarry,Fossilised remains of a single valve of the Silurian brachiopod Strophonella euglypha. Found at Shelsley Quarry.,,,Brachiopod,G.20431,unknown,662264,G.20431.jpg,Chronostratigraphy,Silurian Period; Ludlow Series,Strophonella euglypha,https://data.nhm.ac.uk/media/ludlow:G.20431.jpg
6653,unknown,Cheney Longville,"Fossilised remains of single valve of Ordovician brachiopod Kjaerina typa. Found at Longville Lane, near Cheney Longvillle, Shropshire. Original Ludlow Natural History specimen.",52.45975927,-2.86975794,Brachiopod,G.00094,SO4185,51903,G.00094.jpg,Chronostratigraphy,Ordovician Period; Caradoc Series; Aeronian Stage; Longvillian Substage,Kjaerina typa,https://data.nhm.ac.uk/media/ludlow:G.00094.jpg
8805,unknown,Nairn,"Sample of sedmentary sanstone rock found in Nairn, Scotland.",,,Sandstone,G.20343,unknown,660797,G.20343.jpg,,,,https://data.nhm.ac.uk/media/ludlow:G.20343.jpg
7172,"Davies, D.","Abberly district, Worcs","Fossilised remains of phragmocone of the Silurian cephalopod, Orthoceras sp. showing the septal lines. Found in the Abberly district, Worcs.",,,Cephalopod,G.05494,Unknown,48319,G.05494.jpg,"Chronostratigraphy, Lithostratigraphy",Silurian Period; Much Wenlock Limestone Formation; Much Wenlock Series,Orthoceras sp.,https://data.nhm.ac.uk/media/ludlow:G.05494.jpg
8711,unknown,Unknown,Fossilised remains of the horn shaped corallite of the Cretaceous solitary coral Trochocyathus conulus showing the septal furrows and growth lines. From the Upper Greensand formation.,,,CORAL,G.20249.004,Unknown,661426,G.20249.004.jpg,"Chronostratigraphy, Lithostratigraphy",Cretaceous Period; Upper Greensand Formation,Trochocyathus conulus,https://data.nhm.ac.uk/media/ludlow:G.20249.004.jpg
8111,unknown,Unknown,"A fossilised death assemblage, of Silurian articulate brachiopods, Atrypa reticularis along with complete bivalved shells and separate brachial and pedicle valves. Crinoid ossicles, small fragments of crinoid stem and bryozoan fragments are also present.",,,Brachiopod; BIVALVE; Crinoid; Bryozoan,G.13736,Unknown,657639,G.13736a.jpg; G.13736b.jpg,"Chronostratigraphy, Lithostratigraphy",Silurian Period; Much Wenlock Limestone Formation,Atrypa reticularis,https://data.nhm.ac.uk/media/ludlow:G.13736a.jpg; https://data.nhm.ac.uk/media/ludlow:G.13736b.jpg
6688,"Norton, W.J.",Ludlow Town,"Fossilised remains of a single valve of the Silurian brachiopod, Lingula lewisi, found in Ludlow Town.",52.36186592,-2.72098258,Brachiopod,G.00269,SO5174,50817,G.00269.jpg,"Chronostratigraphy, Lithostratigraphy",Silurian Period; Ludlow Series; Aymestry Limestone Member,Lingula lewisi,https://data.nhm.ac.uk/media/ludlow:G.00269.jpg
8861,unknown,Unknown,"Sample of white saccharoidal marble. Somewhat dirty. Collected in 1827, locality unknown.",,,MARBLE,G.20403,unknown,661323,G.20403b.jpg,Chronostratigraphy,Unknown,Marble,https://data.nhm.ac.uk/media/ludlow:G.20403b.jpg
7194,unknown,"Lower Wood Brook, Rorrington.","A near complete fossilised exoskeleton of an Ordovician trilobite, possibly Marrolithus sp. The cephalon has a pitted rim and one genal spine is preserved.",,,Trilobite,G.05821,unknown,53355,G.05821.jpg,Chronostratigraphy,Ordovician Period; Llandeilian Stage,Marrolithus sp.,https://data.nhm.ac.uk/media/ludlow:G.05821.jpg
8733,"Rowlands, M.; Norton, M.","Hanover Point, Isle of Wight","Fossilised fish fragments from the Cretaceous Period, found at Hanover point, Isle of Wight.",50.64550706,-1.47805046,Fish,G.20261.003,SZ3783,661100,G.20261.003.jpg,Chronostratigraphy,Cretaceous Period,,https://data.nhm.ac.uk/media/ludlow:G.20261.003.jpg
9119,"Hand, H.; Norton, J.","Mortimer Forest, Lingen","Sample of the carbonate mineral pink calcite. Found in the Mortimer Forest, Lingen.",52.29750821,-2.92523212,Calcite,M.01306,SO3767,81636,M.01306.jpg,,,Calcite; Calcium Carbonate,https://data.nhm.ac.uk/media/ludlow:M.01306.jpg
6737,unknown,Garn Bank,"Fossilised shell remains the of Silurian gastropod Turbo sp. found at Garn Bank, Chapel Lawn, Bucknell.",52.36844163,-3.04421392,Gastropod,G.01857,SO2975,56946,G.01857.jpg,Chronostratigraphy,Silurian Period; Ludlow Series,Turbo sp.,https://data.nhm.ac.uk/media/ludlow:G.01857.jpg
8867,unknown,Unknown,Sample of sedimentary sandstone rock.,,,Sandstone,G.20412,unknown,661337,G.20412a.jpg; G.20412b.jpg,,,,https://data.nhm.ac.uk/media/ludlow:G.20412a.jpg; https://data.nhm.ac.uk/media/ludlow:G.20412b.jpg
