fossil_id,description,object_name,strat_type,period,taxonomy,url
7016,"Fossilised remains of the Silurian jawed fish Onchus sp. found at Ludford Corner, Ludlow.",Fish,Chronostratigraphy,Silurian Period,Onchus sp.,https://data.nhm.ac.uk/media/ludlow:G.03928.002b.jpg; https://data.nhm.ac.uk/media/ludlow:G.03928.002.jpg
6770,"Fossilised remains of a Silurian coral, Sphenothallus ? Found at Builth Wells bridge.",CORAL,Chronostratigraphy,Silurian Period,Sphenothallus sp.,https://data.nhm.ac.uk/media/ludlow:G.02231.jpg
6831,"Fossilised remains of cephalon of the Silurian trilobite Dalmanites myops found at Wrens Nest, Dudley.",Trilobite,Chronostratigraphy,Silurian Period,Dalmanites myops,https://data.nhm.ac.uk/media/ludlow:G.03067.jpg
7108,Fossilised shell remains of the Silurian brachiopod Strophonella euglypha. Found by Bibbs.,Brachiopod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Strophonella euglypha,https://data.nhm.ac.uk/media/ludlow:G.04769.jpg
7083,"Fossilised shell remains of the Silurian brachiopods,Dolerorthis rustica, Atrypa reticularis, Rhynchotreta cuneata and Leptaena rhomboidalis found at Wrens Nest, Dudley.",Brachiopod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Dolerorthis rustica; Atrypa reticularis; Rhynchotreta cuneata; Leptaena rhomboidalis,https://data.nhm.ac.uk/media/ludlow:G.04541.jpg
7018,Fossilised remains of cephalon and pygidia of the Silurian trilobite Dalmanites myops found at Upper Millichope.,Trilobite,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Dalmanites myops,https://data.nhm.ac.uk/media/ludlow:G.03937.jpg
6990,"Fossilised remains of the Silurian echinoid, Echinocystis pomum.",Echinoid,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Echinocystis pomum,https://data.nhm.ac.uk/media/ludlow:G.03815.jpg
7103,Fossilised shell remains of the Silurian brachiopod Amphistrophia funiculata. Part of the Bibbs Collection.,Brachiopod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Amphistrophia funiculata,https://data.nhm.ac.uk/media/ludlow:G.04750.jpg
6890,"Fossilised remains of the Silurian agnathan fish Cephalaspis sp. found at Bromfield, Shropshire.",Fish,Chronostratigraphy,Silurian Period,Cephalaspis sp.,https://data.nhm.ac.uk/media/ludlow:G.03385.jpg
6974,"Fossilised remains of fragment of the phragmocone of the Silurian orthocone cephalopod, Kionoceras angulatum.",Cephalopod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Kionoceras angulatum,https://data.nhm.ac.uk/media/ludlow:G.03727.jpg
7019,Fossilised remains of the Silurian gastropod Poleumita discors.,Gastropod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Poleumita discors,https://data.nhm.ac.uk/media/ludlow:G.03947.jpg
7131,"Fossilised remains of phragmocone of the Silurian orthocone cephalopod, Orthoceras ibex, showing septal divisions. Found at High Vinnals.",Cephalopod,"Biostratigraphy, Chronostratigraphy",Silurian Period,Orthoceras ibex,https://data.nhm.ac.uk/media/ludlow:G.04994.jpg
7263,"Fragment of the phragmocone of the Silurian orthocone cephalopod, Orthoceras bullatum .",Cephalopod,"Chronostratigraphy, Lithostratigraphy",Silurian Period,Orthoceras bullatum,https://data.nhm.ac.uk/media/ludlow:G.06463.jpg
